Policy_Number,Customer_ID,Vehicle_ID,Vehicle_Make,Policy_Start_Date,Policy_End_Date,Premium_Amount,Claim_Number,Payment_Date,Payment_Method,Coverage_Type,Agent_ID,Region_Name,Policy_Term,Deductible,Claim_Date,Claim_Amount,Claim_Status,Claim_Type
P37920380,CUST2863,V926752,Volkswagen,11/27/2023,2/18/2024,1732,CLM6892,10/31/2023,Bank Transfer,Collision,AG103,Central,12 months,864,3/15/2024,9826,Denied,Theft
P27035692,CUST2864,V218917,Volkswagen,6/25/2023,4/26/2025,1512,CLM2494,4/14/2024,Cash,Third Party,AG104,Central,12 months,490,7/26/2023,8129,Pending,Theft
P49794140,CUST2865,V489279,BMW,7/10/2023,5/21/2024,1853,CLM4532,12/19/2023,Cash,Third Party,AG108,Central,12 months,655,12/12/2023,1755,Denied,Theft
P36982936,CUST2866,V258678,Nissan,10/25/2022,1/18/2024,740,CLM7555,8/10/2023,Bank Transfer,Comprehensive,AG103,Central,12 months,603,8/13/2024,4848,Approved,Theft
P15249705,CUST2867,V908166,Ford,4/19/2023,9/11/2025,909,CLM8685,9/9/2024,Cash,Collision,AG104,Central,12 months,373,8/13/2023,8433,Denied,Theft
P34028134,CUST2868,V310020,Mercedes,4/20/2022,5/22/2024,1370,CLM3389,3/27/2024,Cash,Collision,AG101,Central,12 months,247,9/16/2023,7869,Denied,Theft
P96348717,CUST2869,V888304,Hyundai,7/20/2023,7/14/2025,1628,CLM3945,11/23/2023,Cash,Third Party,AG104,Central,12 months,959,6/29/2024,9455,Denied,Theft
P70385480,CUST2870,V594546,Nissan,8/3/2023,1/20/2025,1944,CLM4265,7/24/2024,Bank Transfer,Comprehensive,AG100,Central,12 months,179,10/11/2023,5480,Pending,Theft
P15988468,CUST2871,V880845,Chevrolet,6/25/2023,8/28/2024,863,CLM1368,7/21/2024,Bank Transfer,Third Party,AG103,Central,12 months,279,5/27/2023,3378,Pending,Theft
P20717090,CUST2872,V330214,Honda,4/6/2023,1/13/2024,974,CLM3159,9/11/2023,Bank Transfer,Comprehensive,AG104,Central,12 months,990,4/30/2024,4712,Denied,Theft
P86892045,CUST2873,V855267,BMW,2/20/2022,3/12/2025,1880,CLM9298,5/21/2023,Bank Transfer,Comprehensive,AG100,Central,12 months,600,5/19/2024,8390,Denied,Theft
P96536432,CUST2874,V448572,Nissan,8/7/2023,4/23/2024,928,CLM5274,12/26/2024,Bank Transfer,Comprehensive,AG100,Central,12 months,284,7/19/2023,4028,Approved,Theft
P15252523,CUST2875,V190764,Nissan,7/4/2022,7/23/2025,612,CLM2477,9/28/2023,Bank Transfer,Third Party,AG103,Central,12 months,815,12/3/2024,3806,Pending,Theft
P51892568,CUST2876,V189400,Chevrolet,7/1/2022,11/13/2024,990,CLM6558,5/18/2023,Credit Card,Collision,AG102,Central,12 months,837,1/18/2024,7877,Denied,Theft
P39266644,CUST2877,V444014,BMW,12/30/2023,7/1/2025,1175,CLM1909,10/4/2023,Bank Transfer,Comprehensive,AG103,Central,12 months,720,8/3/2023,8477,Approved,Theft
P50990852,CUST2878,V657059,Kia,3/10/2023,1/31/2025,1583,CLM4441,7/1/2024,Credit Card,Collision,AG103,Central,12 months,277,6/30/2023,6193,Pending,Theft
P93615276,CUST2879,V985195,BMW,1/18/2022,4/20/2024,512,CLM6609,4/22/2024,Bank Transfer,Third Party,AG103,Central,12 months,959,8/20/2024,9445,Denied,Theft
P55411294,CUST2880,V608854,Toyota,9/5/2023,8/19/2025,1765,CLM3390,9/12/2024,Credit Card,Third Party,AG104,Central,12 months,813,7/22/2023,2169,Denied,Theft
P77989828,CUST2881,V183225,BMW,6/12/2022,3/27/2024,1581,CLM3350,10/8/2024,Cash,Third Party,AG104,Central,12 months,645,3/14/2024,2342,Approved,Theft
P26905314,CUST2882,V360273,Hyundai,6/1/2022,9/20/2024,904,CLM6574,10/18/2024,Cash,Third Party,AG102,Central,12 months,364,9/17/2023,9201,Pending,Theft
P81863128,CUST2883,V139132,Toyota,1/12/2022,11/24/2024,1304,CLM6007,2/9/2023,Credit Card,Comprehensive,AG100,Central,12 months,211,8/1/2023,8697,Denied,Theft
P51103535,CUST2884,V698052,Mercedes,5/31/2022,2/6/2024,1182,CLM7882,4/26/2024,Cash,Third Party,AG103,Central,12 months,940,4/27/2024,2203,Denied,Theft
P95058109,CUST2885,V964494,Chevrolet,3/14/2023,4/14/2025,636,CLM9280,2/8/2023,Bank Transfer,Collision,AG104,Central,12 months,465,2/18/2023,5013,Pending,Theft
P58341135,CUST2886,V667356,BMW,3/2/2022,5/22/2024,1614,CLM3993,9/9/2024,Bank Transfer,Comprehensive,AG108,Central,12 months,854,12/7/2024,8317,Denied,Theft
P55080937,CUST2887,V824277,Kia,9/8/2023,11/26/2024,1283,CLM2020,2/10/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,789,3/21/2023,4090,Approved,Theft
P81229079,CUST2888,V476604,Mercedes,12/14/2023,9/6/2025,1467,CLM4093,3/9/2023,Credit Card,Third Party,AG100,Central,12 months,939,10/23/2023,4136,Pending,Theft
P26508782,CUST2889,V771378,BMW,7/28/2023,5/19/2025,726,CLM9770,12/22/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,273,5/27/2023,2316,Pending,Theft
P32693516,CUST2890,V680145,BMW,12/5/2023,1/6/2025,1353,CLM8252,9/17/2023,Credit Card,Comprehensive,AG103,Central,12 months,616,8/4/2024,4698,Denied,Theft
P66200869,CUST2891,V683530,Toyota,8/7/2023,8/1/2024,654,CLM9271,11/16/2024,Bank Transfer,Third Party,AG101,Central,12 months,216,4/19/2023,2685,Approved,Theft
P32444262,CUST2892,V399625,Kia,1/15/2022,1/21/2025,1652,CLM2714,3/21/2024,Cash,Collision,AG104,Central,12 months,740,7/27/2024,4093,Approved,Theft
P83712746,CUST2893,V765342,BMW,11/7/2023,7/12/2025,681,CLM4691,4/27/2023,Bank Transfer,Collision,AG100,Central,12 months,954,5/24/2024,4386,Approved,Theft
P43299801,CUST2894,V745773,BMW,9/7/2022,11/28/2024,1914,CLM2199,5/15/2024,Credit Card,Comprehensive,AG101,Central,12 months,816,3/21/2024,1135,Pending,Theft
P16929386,CUST2895,V858105,Chevrolet,7/19/2022,4/1/2025,1696,CLM8606,6/4/2024,Bank Transfer,Collision,AG103,Central,12 months,952,6/28/2024,7443,Denied,Theft
P18769863,CUST2896,V180135,Toyota,5/25/2023,7/18/2024,1728,CLM2089,1/15/2023,Cash,Third Party,AG104,Central,12 months,866,6/30/2023,4320,Denied,Theft
P46073181,CUST2897,V840259,Volkswagen,10/1/2022,11/7/2024,1440,CLM1826,6/16/2023,Bank Transfer,Collision,AG103,Central,12 months,247,4/25/2024,8127,Denied,Theft
P92137633,CUST2898,V521126,BMW,9/14/2023,3/29/2025,971,CLM6198,5/6/2023,Bank Transfer,Comprehensive,AG100,Central,12 months,651,5/20/2024,3524,Denied,Theft
P22996549,CUST2899,V559697,Mercedes,4/14/2023,11/17/2024,1256,CLM6619,12/29/2023,Bank Transfer,Third Party,AG101,Central,12 months,742,5/5/2024,5345,Denied,Theft
P23588932,CUST2900,V677436,BMW,10/4/2023,2/6/2025,1897,CLM8120,1/14/2024,Bank Transfer,Comprehensive,AG100,Central,12 months,282,2/10/2024,9386,Pending,Theft
P92264925,CUST2901,V638187,Chevrolet,10/21/2022,12/11/2024,760,CLM3259,8/15/2024,Bank Transfer,Third Party,AG100,Central,12 months,716,5/6/2023,6630,Approved,Theft
P96141290,CUST2902,V185010,Chevrolet,11/10/2023,9/27/2025,1589,CLM7144,9/26/2024,Bank Transfer,Comprehensive,AG103,Central,12 months,386,5/21/2024,8262,Approved,Theft
P30570667,CUST2903,V674610,Kia,10/12/2022,12/19/2025,737,CLM3559,6/21/2024,Bank Transfer,Collision,AG100,Central,12 months,192,6/10/2024,3867,Approved,Theft
P34941135,CUST2904,V494311,Chevrolet,6/30/2023,10/1/2024,673,CLM8970,6/15/2024,Bank Transfer,Third Party,AG101,Central,12 months,805,4/6/2024,1437,Denied,Theft
P43211387,CUST2905,V256220,Mercedes,2/6/2023,12/19/2025,1636,CLM3201,9/18/2024,Credit Card,Third Party,AG104,Central,12 months,105,11/16/2023,4333,Approved,Theft
P96582383,CUST2906,V597505,BMW,3/21/2022,2/18/2024,878,CLM9896,10/26/2023,Credit Card,Comprehensive,AG104,Central,12 months,551,3/13/2024,9088,Pending,Theft
P48308750,CUST2907,V155551,BMW,1/28/2022,4/13/2024,786,CLM9599,5/9/2024,Credit Card,Comprehensive,AG103,Central,12 months,926,11/11/2023,6153,Denied,Theft
P41603438,CUST2908,V858894,BMW,11/10/2022,2/15/2025,1109,CLM7101,11/4/2024,Credit Card,Third Party,AG103,Central,12 months,959,11/17/2024,9225,Denied,Theft
P66798448,CUST2909,V601847,Ford,2/20/2022,6/27/2024,959,CLM1350,1/20/2023,Bank Transfer,Collision,AG101,Central,12 months,509,11/26/2024,1268,Pending,Theft
P74338052,CUST2910,V388268,Volkswagen,3/3/2023,11/14/2024,1397,CLM3273,11/2/2023,Cash,Third Party,AG104,Central,12 months,407,11/30/2024,2755,Approved,Theft
P57154060,CUST2911,V334931,BMW,6/4/2022,3/3/2025,1698,CLM4959,9/7/2024,Bank Transfer,Third Party,AG103,Central,12 months,1000,10/30/2024,5227,Denied,Theft
P78486218,CUST2912,V188902,Chevrolet,1/4/2023,9/1/2025,1250,CLM6065,2/26/2024,Bank Transfer,Third Party,AG103,Central,12 months,226,11/13/2024,7760,Denied,Theft
P33275679,CUST2913,V757201,Ford,3/13/2022,1/11/2025,936,CLM7832,6/29/2023,Cash,Comprehensive,AG103,Central,12 months,537,3/16/2024,9282,Approved,Theft
P67845468,CUST2914,V765099,Volkswagen,1/11/2023,5/28/2025,1112,CLM5021,7/18/2023,Bank Transfer,Third Party,AG101,Central,12 months,659,7/16/2024,8359,Denied,Theft
P77897349,CUST2915,V157018,Volkswagen,12/29/2022,10/23/2025,778,CLM6152,7/20/2023,Cash,Comprehensive,AG103,Central,12 months,846,10/20/2024,1760,Denied,Theft
P92197472,CUST2916,V117729,Toyota,6/5/2023,1/15/2025,1178,CLM3122,3/17/2023,Cash,Comprehensive,AG101,Central,12 months,259,3/23/2023,5731,Approved,Theft
P41837509,CUST2917,V963527,Toyota,2/21/2023,2/13/2024,1012,CLM5400,11/23/2024,Cash,Third Party,AG103,Central,12 months,219,4/29/2024,3344,Approved,Theft
P25784774,CUST2918,V107340,Hyundai,2/6/2022,10/5/2025,1031,CLM9964,11/14/2024,Bank Transfer,Comprehensive,AG104,Central,12 months,335,4/4/2024,9843,Approved,Theft
P51732307,CUST2919,V133366,Nissan,11/12/2022,11/18/2024,1404,CLM6173,9/23/2023,Credit Card,Third Party,AG103,Central,12 months,868,2/2/2023,4226,Approved,Theft
P71875449,CUST2920,V477254,Mercedes,8/7/2022,5/19/2024,1291,CLM4003,5/28/2024,Bank Transfer,Collision,AG102,Central,12 months,316,3/5/2024,7092,Approved,Theft
P97003354,CUST2921,V948449,BMW,11/13/2023,6/24/2024,1846,CLM6177,3/8/2023,Credit Card,Collision,AG100,Central,12 months,611,1/15/2023,2934,Denied,Theft
P16458067,CUST2922,V245861,Chevrolet,2/13/2023,8/19/2025,623,CLM4577,11/10/2024,Credit Card,Third Party,AG103,Central,12 months,246,3/3/2024,8828,Denied,Theft
P82541959,CUST2923,V717215,Mercedes,3/23/2022,10/31/2024,658,CLM1914,8/20/2024,Credit Card,Collision,AG103,Central,12 months,987,5/21/2023,3514,Approved,Theft
P23541424,CUST2924,V648558,Mercedes,7/10/2023,6/20/2024,1579,CLM2487,7/12/2024,Cash,Comprehensive,AG103,Central,12 months,512,8/21/2024,2625,Pending,Theft
P90323353,CUST2925,V460135,BMW,8/8/2023,12/27/2025,547,CLM8097,7/12/2024,Bank Transfer,Collision,AG105,Central,12 months,445,6/26/2023,1190,Approved,Theft
P12054453,CUST2926,V385362,Honda,10/4/2022,8/16/2024,648,CLM3407,12/10/2023,Credit Card,Comprehensive,AG102,Central,12 months,410,3/18/2024,7116,Denied,Theft
P13778018,CUST2927,V424131,Nissan,9/6/2022,2/12/2024,784,CLM3245,8/2/2024,Cash,Collision,AG101,Central,12 months,187,7/27/2024,3987,Approved,Theft
P50333151,CUST2928,V367174,Nissan,11/27/2023,2/22/2025,1911,CLM9473,8/21/2024,Cash,Third Party,AG100,Central,12 months,455,9/25/2024,3592,Denied,Theft
P95303116,CUST2929,V134015,Volkswagen,10/5/2022,12/9/2024,534,CLM1188,2/14/2023,Bank Transfer,Third Party,AG103,Central,12 months,833,7/11/2023,7591,Approved,Theft
P86423069,CUST2930,V761169,Hyundai,10/11/2023,12/26/2025,950,CLM1834,6/12/2024,Cash,Collision,AG108,Central,12 months,377,8/9/2023,6517,Denied,Theft
P57475477,CUST2931,V524270,Hyundai,6/11/2023,9/28/2025,1563,CLM2394,8/11/2024,Cash,Collision,AG104,Central,12 months,497,12/3/2024,1523,Approved,Theft
P92619742,CUST2932,V399591,Chevrolet,10/25/2022,5/19/2024,653,CLM7006,8/29/2024,Bank Transfer,Third Party,AG104,Central,12 months,321,10/31/2023,5490,Approved,Theft
P16130292,CUST2933,V143288,BMW,3/8/2023,2/13/2024,1883,CLM2568,9/14/2024,Cash,Comprehensive,AG100,Central,12 months,936,5/10/2023,6727,Pending,Theft
P26168359,CUST2934,V528422,BMW,7/28/2022,1/11/2025,859,CLM6360,12/29/2024,Cash,Comprehensive,AG101,Central,12 months,422,2/5/2023,3913,Denied,Theft
P19201616,CUST2935,V977349,BMW,8/2/2022,9/3/2024,1155,CLM5656,10/26/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,193,5/28/2023,1588,Pending,Theft
P90448740,CUST2936,V194490,Mercedes,12/4/2023,3/11/2025,519,CLM9014,10/14/2024,Cash,Collision,AG103,Central,12 months,234,7/26/2023,1072,Denied,Theft
P55027576,CUST2937,V932044,Chevrolet,4/28/2022,1/26/2024,540,CLM6821,6/26/2023,Credit Card,Third Party,AG101,Central,12 months,851,6/14/2024,2003,Pending,Theft
P14500530,CUST2938,V423845,Hyundai,8/9/2023,6/1/2024,811,CLM7499,5/8/2024,Bank Transfer,Comprehensive,AG104,Central,12 months,813,12/10/2023,3746,Pending,Theft
P19238394,CUST2939,V811850,BMW,8/2/2022,12/7/2024,1959,CLM4804,12/14/2024,Bank Transfer,Comprehensive,AG101,Central,12 months,540,9/5/2024,3013,Denied,Theft
P84624027,CUST2940,V686438,BMW,10/31/2023,12/17/2025,1732,CLM8514,7/19/2023,Credit Card,Comprehensive,AG106,Central,12 months,107,7/12/2023,5195,Pending,Theft
P95467157,CUST2941,V878774,BMW,11/9/2023,11/24/2025,1837,CLM7638,4/4/2023,Cash,Third Party,AG103,Central,12 months,162,12/8/2024,6068,Denied,Theft
P89933125,CUST2942,V619610,BMW,11/20/2023,2/13/2025,1848,CLM7127,12/9/2023,Bank Transfer,Collision,AG102,Central,12 months,497,6/25/2023,3009,Pending,Theft
P88176158,CUST2943,V539388,Kia,9/4/2023,11/2/2024,1764,CLM9259,2/4/2024,Credit Card,Comprehensive,AG108,Central,12 months,987,4/4/2024,2315,Denied,Theft
P33716295,CUST2944,V832891,Nissan,11/21/2023,7/11/2024,694,CLM8925,10/15/2024,Cash,Comprehensive,AG104,Central,12 months,197,9/18/2024,9582,Denied,Theft
P91466953,CUST2945,V634774,Hyundai,7/23/2023,1/5/2024,1313,CLM7484,9/3/2024,Cash,Comprehensive,AG103,Central,12 months,268,1/22/2023,2131,Denied,Theft
P72045928,CUST2946,V653931,Chevrolet,11/21/2022,1/11/2025,636,CLM2282,2/15/2023,Cash,Collision,AG104,Central,12 months,607,9/27/2024,7661,Pending,Theft
P50414586,CUST2947,V409828,Nissan,4/4/2022,9/14/2025,810,CLM3528,7/29/2023,Cash,Comprehensive,AG103,Central,12 months,942,11/16/2023,1746,Approved,Theft
P36617998,CUST2948,V322460,Honda,10/21/2022,10/27/2024,1719,CLM5847,3/7/2024,Cash,Third Party,AG102,Central,12 months,959,12/16/2023,9965,Denied,Theft
P79967910,CUST2949,V610777,Chevrolet,5/15/2022,11/17/2024,851,CLM6861,11/3/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,259,2/17/2023,8168,Approved,Theft
P43660298,CUST2950,V415435,Honda,11/24/2022,6/19/2025,1116,CLM2718,10/2/2023,Cash,Comprehensive,AG103,Central,12 months,178,2/21/2023,2170,Pending,Theft
P83428649,CUST2951,V591933,Nissan,11/22/2023,12/31/2024,856,CLM6840,6/9/2023,Cash,Collision,AG105,Central,12 months,222,7/16/2023,9101,Denied,Theft
P93953390,CUST2952,V463085,Toyota,11/24/2022,1/23/2025,1255,CLM4980,9/24/2023,Credit Card,Comprehensive,AG103,Central,12 months,561,12/17/2023,1521,Approved,Theft
P84923233,CUST2953,V128317,Chevrolet,6/27/2023,6/2/2025,989,CLM5059,6/3/2024,Credit Card,Third Party,AG102,Central,12 months,217,5/1/2023,2971,Denied,Theft
P28464076,CUST2954,V181186,BMW,3/4/2023,8/6/2024,604,CLM9128,6/18/2023,Credit Card,Comprehensive,AG103,Central,12 months,795,11/25/2023,6582,Denied,Theft
P84829099,CUST2955,V924806,Hyundai,5/18/2022,4/25/2025,1666,CLM6784,1/25/2023,Credit Card,Collision,AG104,Central,12 months,817,12/8/2024,5593,Approved,Theft
P15623114,CUST2956,V660754,Volkswagen,1/1/2023,8/10/2025,990,CLM1040,6/8/2023,Credit Card,Comprehensive,AG102,Central,12 months,549,3/20/2023,1712,Approved,Theft
P31612751,CUST2957,V933372,Kia,9/15/2023,11/5/2024,943,CLM1571,6/14/2024,Bank Transfer,Third Party,AG103,Central,12 months,990,8/14/2024,9070,Denied,Theft
P70486062,CUST2958,V661037,Nissan,2/8/2023,5/3/2025,1940,CLM1754,6/7/2024,Credit Card,Comprehensive,AG106,Central,12 months,602,4/14/2023,3359,Approved,Theft
P13227116,CUST2959,V167317,Ford,4/23/2022,10/4/2024,1121,CLM2489,9/2/2023,Bank Transfer,Third Party,AG102,Central,12 months,520,11/4/2023,1197,Approved,Theft
P29901822,CUST2960,V916446,Volkswagen,11/8/2023,3/10/2024,724,CLM8537,7/1/2023,Bank Transfer,Collision,AG103,Central,12 months,537,12/11/2024,8710,Pending,Theft
P71424409,CUST2961,V502027,Nissan,11/1/2023,12/12/2024,1697,CLM3952,7/31/2023,Bank Transfer,Comprehensive,AG104,Central,12 months,457,11/27/2023,9005,Denied,Theft
P15011646,CUST2962,V821778,BMW,1/24/2023,6/16/2025,1886,CLM5828,4/16/2024,Bank Transfer,Third Party,AG108,Central,12 months,592,2/20/2023,1595,Pending,Theft
P19786456,CUST2963,V256728,Volkswagen,9/17/2022,6/17/2024,777,CLM1217,6/17/2024,Credit Card,Collision,AG101,Central,12 months,659,4/24/2023,6609,Pending,Theft
P74492150,CUST2964,V526835,Ford,7/5/2023,1/6/2025,1153,CLM9919,7/21/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,282,6/9/2023,6295,Pending,Theft
P94949177,CUST2965,V376040,Honda,6/20/2022,8/27/2025,710,CLM7030,10/12/2023,Bank Transfer,Comprehensive,AG105,Central,12 months,923,1/17/2023,8533,Approved,Theft
P89854081,CUST2966,V488595,Ford,3/19/2022,3/18/2025,834,CLM6471,12/19/2024,Bank Transfer,Third Party,AG103,Central,12 months,737,10/26/2024,8438,Denied,Theft
P61279195,CUST2967,V962731,Honda,8/20/2023,5/6/2024,1658,CLM7581,4/26/2024,Cash,Collision,AG103,Central,12 months,474,5/23/2023,8531,Approved,Theft
P30086173,CUST2968,V337356,Nissan,6/3/2023,6/9/2025,1015,CLM4219,2/28/2023,Bank Transfer,Comprehensive,AG103,Central,12 months,276,11/25/2023,8471,Denied,Theft
P95560580,CUST2969,V575849,Kia,1/22/2023,5/5/2024,1736,CLM2978,3/25/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,456,5/14/2023,3185,Denied,Theft
P89412432,CUST2970,V810431,Volkswagen,9/29/2022,11/20/2024,893,CLM9211,11/2/2024,Bank Transfer,Third Party,AG100,Central,12 months,989,6/8/2023,3961,Denied,Theft
P92115078,CUST2971,V330809,Hyundai,2/25/2023,4/8/2025,1276,CLM1337,10/8/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,638,11/4/2023,1254,Denied,Theft
P74863184,CUST2972,V509345,Mercedes,4/6/2023,1/24/2025,1779,CLM2431,12/24/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,803,5/18/2024,8371,Pending,Theft
P88779641,CUST2973,V812945,Chevrolet,9/16/2023,2/23/2024,1491,CLM1169,2/4/2023,Bank Transfer,Collision,AG103,Central,12 months,266,5/4/2023,7591,Denied,Theft
P90035817,CUST2974,V879371,Toyota,8/2/2023,8/8/2024,716,CLM7882,12/25/2023,Bank Transfer,Collision,AG103,Central,12 months,688,2/14/2023,5292,Denied,Theft
P78767576,CUST2975,V496260,Mercedes,10/20/2022,5/13/2025,718,CLM7369,3/25/2023,Bank Transfer,Third Party,AG101,Central,12 months,648,7/16/2023,7904,Pending,Theft
P40365256,CUST2976,V483447,BMW,8/6/2022,2/4/2024,1994,CLM6487,9/21/2023,Bank Transfer,Comprehensive,AG101,Central,12 months,976,12/12/2024,3501,Denied,Theft
P40216339,CUST2977,V942538,Hyundai,12/27/2022,8/21/2024,886,CLM5644,9/17/2024,Cash,Collision,AG101,Central,12 months,139,4/19/2023,8511,Pending,Theft
P39735565,CUST2978,V150076,Mercedes,7/27/2022,4/21/2024,998,CLM9555,2/14/2024,Credit Card,Collision,AG100,Central,12 months,591,12/9/2024,3471,Pending,Theft
P55807552,CUST2979,V447567,Toyota,8/26/2023,6/12/2025,1320,CLM6850,1/23/2024,Bank Transfer,Collision,AG103,Central,12 months,505,10/9/2024,4785,Denied,Theft
P99360135,CUST2980,V303693,Kia,2/16/2023,6/5/2024,879,CLM4080,12/31/2023,Bank Transfer,Third Party,AG102,Central,12 months,977,8/19/2024,7484,Denied,Theft
P12620662,CUST2981,V358150,Honda,12/11/2023,10/18/2024,983,CLM3982,11/21/2023,Credit Card,Comprehensive,AG104,Central,12 months,998,1/27/2024,5004,Denied,Theft
P17478489,CUST2982,V555348,Mercedes,11/13/2022,6/30/2025,1485,CLM6734,1/3/2024,Credit Card,Third Party,AG101,Central,12 months,739,1/15/2024,7598,Approved,Theft
P94765044,CUST2983,V845571,Ford,7/18/2022,7/28/2024,1765,CLM1779,11/28/2024,Cash,Collision,AG100,Central,12 months,455,6/30/2024,1291,Approved,Theft
P22211058,CUST2984,V419578,BMW,10/22/2022,8/25/2025,1973,CLM3315,8/22/2023,Cash,Third Party,AG100,Central,12 months,847,4/20/2024,8761,Pending,Theft
P75046523,CUST2985,V872459,BMW,7/28/2023,5/28/2024,983,CLM4510,9/3/2023,Bank Transfer,Third Party,AG100,Central,12 months,632,10/18/2023,5083,Pending,Theft
P14589906,CUST2986,V438629,Hyundai,7/1/2023,8/31/2025,962,CLM2505,6/19/2024,Cash,Comprehensive,AG100,Central,12 months,612,8/11/2023,9728,Approved,Theft
P70583375,CUST2987,V887082,Ford,8/11/2022,7/10/2025,1407,CLM2282,6/20/2024,Credit Card,Comprehensive,AG100,Central,12 months,525,10/6/2024,3929,Denied,Theft
P57451916,CUST2988,V670795,Kia,1/8/2023,4/28/2024,866,CLM1851,7/13/2023,Bank Transfer,Collision,AG101,Central,12 months,738,12/30/2023,1385,Denied,Theft
P68336711,CUST2989,V598418,Honda,6/10/2023,5/19/2024,1205,CLM5142,7/25/2024,Credit Card,Collision,AG103,Central,12 months,430,10/24/2024,8674,Approved,Theft
P28013922,CUST2990,V598105,Nissan,5/3/2023,10/24/2025,1736,CLM3118,12/7/2023,Credit Card,Collision,AG104,Central,12 months,422,6/15/2024,2160,Denied,Theft
P21295349,CUST2991,V642041,BMW,7/29/2023,2/8/2025,1971,CLM7560,6/30/2024,Bank Transfer,Comprehensive,AG102,Central,12 months,402,11/5/2023,2436,Denied,Theft
P47130941,CUST2992,V891854,Ford,7/29/2022,2/11/2025,1934,CLM9714,10/24/2024,Bank Transfer,Third Party,AG108,Central,12 months,313,10/15/2024,4239,Approved,Theft
P98848318,CUST2993,V952652,Ford,6/1/2022,7/11/2024,1939,CLM4852,11/22/2024,Bank Transfer,Comprehensive,AG101,Central,12 months,601,1/29/2023,1609,Approved,Theft
P23818329,CUST2994,V498128,Kia,6/30/2023,8/25/2024,920,CLM6753,9/14/2023,Bank Transfer,Third Party,AG104,Central,12 months,703,11/14/2024,2131,Approved,Theft
P10707749,CUST2995,V304264,Kia,6/21/2023,5/19/2024,828,CLM6960,9/6/2024,Bank Transfer,Third Party,AG103,Central,12 months,763,5/28/2024,6306,Denied,Theft
P80182229,CUST2996,V111212,Honda,9/6/2022,3/15/2025,959,CLM6216,8/12/2023,Credit Card,Collision,AG101,Central,12 months,772,8/19/2024,7184,Pending,Theft
P54783316,CUST2997,V686616,Nissan,5/17/2022,12/2/2024,1773,CLM5956,12/14/2024,Cash,Comprehensive,AG104,Central,12 months,763,1/10/2024,9291,Approved,Theft
P75713823,CUST2998,V883884,BMW,1/2/2023,9/14/2024,1907,CLM9355,5/5/2023,Cash,Third Party,AG104,Central,12 months,465,4/1/2024,5669,Pending,Theft
P29773611,CUST2999,V280436,BMW,8/12/2022,10/23/2025,1522,CLM2114,6/30/2023,Credit Card,Collision,AG101,Central,12 months,651,3/23/2024,6078,Denied,Theft
P49305316,CUST3000,V942642,Hyundai,8/11/2023,1/4/2025,642,CLM3731,8/15/2023,Bank Transfer,Third Party,AG103,Central,12 months,590,2/24/2023,6628,Approved,Theft
P16032270,CUST3001,V655706,BMW,11/17/2022,5/22/2025,1542,CLM5965,11/3/2023,Bank Transfer,Comprehensive,AG102,Central,12 months,398,8/1/2024,7046,Pending,Theft
P66673914,CUST3002,V971975,Toyota,7/19/2023,6/9/2025,1578,CLM8648,12/10/2023,Cash,Third Party,AG101,Central,12 months,959,8/25/2023,9952,Pending,Theft
P96145534,CUST3003,V445232,BMW,6/26/2023,12/23/2025,1353,CLM5061,3/15/2023,Credit Card,Comprehensive,AG100,Central,12 months,626,3/5/2023,5269,Pending,Theft
P23605527,CUST3004,V425948,BMW,7/31/2022,8/26/2025,1906,CLM7807,9/17/2024,Bank Transfer,Comprehensive,AG101,Central,12 months,775,4/1/2024,7140,Denied,Theft
P22300320,CUST3005,V673824,BMW,4/14/2023,7/8/2025,1845,CLM8779,6/20/2023,Credit Card,Collision,AG104,Central,12 months,601,5/18/2023,3194,Pending,Theft
P79820327,CUST3006,V706306,Nissan,4/5/2023,3/25/2024,1324,CLM7206,2/13/2024,Cash,Collision,AG102,Central,12 months,125,3/6/2023,1970,Pending,Theft
P21273299,CUST3007,V124805,Kia,7/28/2022,12/25/2025,1656,CLM3727,4/4/2023,Bank Transfer,Third Party,AG101,Central,12 months,596,10/30/2023,8252,Denied,Theft
P20264733,CUST3008,V590433,Toyota,3/16/2022,12/26/2025,541,CLM2338,3/24/2023,Bank Transfer,Third Party,AG100,Central,12 months,377,7/4/2023,4976,Pending,Theft
P87661277,CUST3009,V557576,BMW,5/9/2023,9/30/2025,1886,CLM7486,9/13/2024,Cash,Comprehensive,AG101,Central,12 months,783,8/30/2023,5735,Denied,Theft
P49171624,CUST3010,V621730,Honda,12/7/2023,5/31/2025,950,CLM3633,1/28/2024,Credit Card,Third Party,AG101,Central,12 months,999,7/20/2024,8621,Pending,Theft
P49050478,CUST3011,V131352,BMW,12/10/2022,7/16/2024,1921,CLM6713,1/30/2023,Cash,Third Party,AG100,Central,12 months,939,12/11/2024,7466,Pending,Theft
